Idx,rhoz(mg/cm^2),G(O K-L3),E(O K-L3),G(Zn K-L3),E(Zn K-L3),G(Zn K-M3),E(Zn K-M3),G(Zn L3-M5),E(Zn L3-M5)
135,0.517103,0.388933,0.00491707,0,0,0,0,0.316789,0.0532928
136,0.520933,0.373476,0.00457125,0,0,0,0,0.30367,0.0504157
137,0.524763,0.358333,0.00424617,0,0,0,0,0.290828,0.0476504
138,0.528594,0.343503,0.00394077,0,0,0,0,0.278264,0.0449939
139,0.532424,0.328987,0.003654,0,0,0,0,0.265977,0.0424431
140,0.536255,0.314783,0.00338487,0,0,0,0,0.253968,0.0399951
141,0.540085,0.300894,0.00313244,0,0,0,0,0.242236,0.0376472
142,0.543915,0.287317,0.00289581,0,0,0,0,0.230782,0.0353966
143,0.547746,0.274054,0.00267414,0,0,0,0,0.219605,0.0332405
144,0.551576,0.261105,0.00246662,0,0,0,0,0.208705,0.0311763
145,0.555407,0.248469,0.00227247,0,0,0,0,0.198083,0.0292014
146,0.559237,0.236146,0.00209097,0,0,0,0,0.187738,0.0273134
147,0.563067,0.224137,0.0019214,0,0,0,0,0.177671,0.0255097
148,0.566898,0.212441,0.00176312,0,0,0,0,0.167881,0.0237879
149,0.570728,0.201058,0.0016155,0,0,0,0,0.158368,0.0221457
150,0.574559,0.189989,0.00147793,0,0,0,0,0.149133,0.0205807
151,0.578389,0.179233,0.00134984,0,0,0,0,0.140175,0.0190908
152,0.582219,0.168791,0.0012307,0,0,0,0,0.131495,0.0176737
153,0.58605,0.158662,0.00111999,0,0,0,0,0.123092,0.0163273
154,0.58988,0.148846,0.00101723,0,0,0,0,0.114967,0.0150495
155,0.593711,0.139344,0.000921955,0,0,0,0,0.107119,0.0138383
156,0.597541,0.130155,0.000833724,0,0,0,0,0.099548,0.0126916
157,0.601371,0.12128,0.000752122,0,0,0,0,0.0922548,0.0116075
158,0.605202,0.112718,0.000676755,0,0,0,0,0.0852391,0.0105841
159,0.609032,0.104469,0.000607249,0,0,0,0,0.0785007,0.00961952
160,0.612862,0.0965336,0.000543248,0,0,0,0,0.0720398,0.00871201
161,0.616693,0.0889117,0.000484415,0,0,0,0,0.0658563,0.00785975
162,0.620523,0.0816033,0.000430433,0,0,0,0,0.0599502,0.00706103
163,0.624354,0.0746082,0.000380999,0,0,0,0,0.0543215,0.00631416
164,0.628184,0.0679265,0.000335828,0,0,0,0,0.0489702,0.00561748
165,0.632014,0.0615582,0.000294648,0,0,0,0,0.0438964,0.00496941
166,0.635845,0.0555033,0.000257203,0,0,0,0,0.0391,0.00436836
167,0.639675,0.0497618,0.00022325,0,0,0,0,0.034581,0.00381281
168,0.643506,0.0443337,0.000192561,0,0,0,0,0.0303394,0.00330127
169,0.647336,0.039219,0.000164919,0,0,0,0,0.0263753,0.00283228
170,0.651166,0.0344177,0.000140119,0,0,0,0,0.0226885,0.00240443
171,0.654997,0.0299297,0.000117966,0,0,0,0,0.0192792,0.00201632
172,0.658827,0.0257552,9.82785e-05,0,0,0,0,0.0161473,0.00166662
173,0.662658,0.0218941,8.08834e-05,0,0,0,0,0.0132928,0.00135401
174,0.666488,0.0183463,6.56177e-05,0,0,0,0,0.0107158,0.00107719
175,0.670318,0.015112,5.23278e-05,0,0,0,0,0.00841614,0.000834926
176,0.674149,0.012191,4.08687e-05,0,0,0,0,0.00639392,0.000625991
177,0.677979,0.00958344,3.11037e-05,0,0,0,0,0.00464913,0.000449198
178,0.68181,0.00728926,2.29041e-05,0,0,0,0,0.00318175,0.000303388
179,0.68564,0.00530848,1.61488e-05,0,0,0,0,0.00199179,0.000187431
180,0.68947,0.00364109,1.07236e-05,0,0,0,0,0.00107925,0.000100227
181,0.693301,0.0022871,6.52129e-06,0,0,0,0,0.000444132,4.07045e-05
182,0.697131,0.0012465,3.44096e-06,0,0,0,0,8.6433e-05,7.81764e-06
183,0.700961,0.000519288,1.38783e-06,0,0,0,0,0,0
184,0.704792,0.000105474,2.72905e-07,0,0,0,0,0,0
185,0.708622,0,0,0,0,0,0,0,0
186,0.712453,0,0,0,0,0,0,0,0
187,0.716283,0,0,0,0,0,0,0,0
188,0.720113,0,0,0,0,0,0,0,0
189,0.723944,0,0,0,0,0,0,0,0
190,0.727774,0,0,0,0,0,0,0,0
191,0.731605,0,0,0,0,0,0,0,0
192,0.735435,0,0,0,0,0,0,0,0
193,0.739265,0,0,0,0,0,0,0,0
194,0.743096,0,0,0,0,0,0,0,0
195,0.746926,0,0,0,0,0,0,0,0
196,0.750757,0,0,0,0,0,0,0,0
197,0.754587,0,0,0,0,0,0,0,0
198,0.758417,0,0,0,0,0,0,0,0
199,0.762248,0,0,0,0,0,0,0,0
