Z(um),G(O K-L3),E(O K-L3),G(Zn K-L3),E(Zn K-L3),G(Zn K-M3),E(Zn K-M3),G(Zn L3-M5),E(Zn L3-M5)
0.505617,1.92442,0.175316,0.31508,0.309339,0.31508,0.310799,1.64165,0.617956
0.51245,1.88984,0.166682,0.304004,0.298391,0.304004,0.299818,1.61161,0.598691
0.519282,1.85558,0.158446,0.293126,0.287642,0.293126,0.289037,1.58184,0.579926
0.526115,1.82164,0.150592,0.282447,0.277093,0.282447,0.278454,1.55236,0.561651
0.532948,1.788,0.143103,0.271965,0.266744,0.271965,0.268071,1.52315,0.543855
0.53978,1.75468,0.135962,0.261682,0.256594,0.261682,0.257887,1.49422,0.526526
0.546613,1.72168,0.129155,0.251596,0.246644,0.251596,0.247903,1.46556,0.509656
0.553446,1.68898,0.122666,0.241709,0.236893,0.241709,0.238117,1.43718,0.493232
0.560278,1.6566,0.116482,0.23202,0.22734,0.23202,0.22853,1.40908,0.477245
0.567111,1.62454,0.110588,0.22253,0.217987,0.22253,0.219141,1.38126,0.461686
0.573944,1.59278,0.104972,0.213237,0.208832,0.213237,0.209951,1.35372,0.446544
0.580776,1.56134,0.0996221,0.204143,0.199876,0.204143,0.20096,1.32645,0.431811
0.587609,1.53022,0.0945257,0.195247,0.191118,0.195247,0.192167,1.29946,0.417476
0.594442,1.49941,0.0896716,0.186549,0.182559,0.186549,0.183572,1.27275,0.403531
0.601274,1.46891,0.0850491,0.178049,0.174198,0.178049,0.175176,1.24631,0.389966
0.608107,1.43872,0.0806476,0.169747,0.166034,0.169747,0.166977,1.22015,0.376774
0.61494,1.40885,0.0764572,0.161644,0.158069,0.161644,0.158977,1.19427,0.363945
0.621772,1.37929,0.0724684,0.153739,0.150301,0.153739,0.151174,1.16867,0.351472
0.628605,1.35004,0.0686722,0.146032,0.142731,0.146032,0.143569,1.14335,0.339345
0.635438,1.32111,0.0650596,0.138523,0.135358,0.138523,0.136161,1.1183,0.327557
0.64227,1.29249,0.0616225,0.131212,0.128182,0.131212,0.128951,1.09353,0.3161
0.649103,1.26418,0.0583529,0.124099,0.121204,0.124099,0.121939,1.06903,0.304967
0.655936,1.23619,0.055243,0.117185,0.114423,0.117185,0.115124,1.04482,0.294149
0.662768,1.20851,0.0522856,0.110469,0.107838,0.110469,0.108506,1.02088,0.28364
0.669601,1.18115,0.0494737,0.103951,0.10145,0.103951,0.102085,0.997218,0.273432
0.676434,1.15409,0.0468006,0.0976312,0.0952586,0.0976312,0.0958605,0.973835,0.263518
0.683266,1.12736,0.0442599,0.0915095,0.0892635,0.0915095,0.0898333,0.950729,0.253891
0.690099,1.10093,0.0418455,0.0855861,0.0834647,0.0855861,0.0840028,0.9279,0.244545
0.696932,1.07482,0.0395515,0.0798608,0.077862,0.0798608,0.078369,0.905349,0.235472
0.703764,1.04902,0.0373724,0.0743338,0.0724553,0.0743338,0.0729317,0.883075,0.226666
0.710597,1.02353,0.0353028,0.0690049,0.0672443,0.0690049,0.0676908,0.861078,0.218121
0.71743,0.998362,0.0333377,0.0638741,0.062229,0.0638741,0.0626462,0.839359,0.209831
0.724262,0.973503,0.031472,0.0589416,0.0574093,0.0589416,0.0577978,0.817918,0.201788
0.731095,0.948958,0.0297011,0.0542073,0.0527849,0.0542073,0.0531455,0.796754,0.193989
0.737928,0.924727,0.0280207,0.0496711,0.0483557,0.0496711,0.0486892,0.775867,0.186426
0.74476,0.900808,0.0264264,0.0453331,0.0441216,0.0453331,0.0444287,0.755257,0.179093
0.751593,0.877203,0.0249141,0.0411933,0.0400825,0.0411933,0.040364,0.734926,0.171986
0.758426,0.853912,0.0234799,0.0372516,0.0362381,0.0372516,0.036495,0.714871,0.165099
0.765258,0.830934,0.0221202,0.0335082,0.0325884,0.0335082,0.0328215,0.695094,0.158426
0.772091,0.808269,0.0208314,0.0299629,0.0291332,0.0299629,0.0293435,0.675594,0.151962
0.778923,0.785918,0.0196101,0.0266158,0.0258724,0.0266158,0.0260608,0.656372,0.145702
0.785756,0.76388,0.018453,0.0234669,0.0228058,0.0234669,0.0229733,0.637427,0.13964
0.792589,0.742155,0.0173571,0.0205162,0.0199332,0.0205162,0.0200809,0.61876,0.133773
0.799421,0.720744,0.0163193,0.0177637,0.0172546,0.0177637,0.0173835,0.60037,0.128095
0.806254,0.699646,0.0153369,0.0152093,0.0147698,0.0152093,0.0148811,0.582257,0.122601
0.813087,0.678862,0.0144073,0.0128531,0.0124786,0.0128531,0.0125734,0.564422,0.117286
0.819919,0.658391,0.0135277,0.0106951,0.0103809,0.0106951,0.0104604,0.546864,0.112147
0.826752,0.638233,0.0126957,0.00873527,0.00847652,0.00873527,0.00854203,0.529584,0.107179
0.833585,0.618389,0.0119091,0.00697363,0.00676538,0.00697363,0.0068181,0.512581,0.102377
0.840417,0.598858,0.0111656,0.00541017,0.0052473,0.00541017,0.00528853,0.495856,0.0977378
0.84725,0.579641,0.010463,0.00404489,0.00392215,0.00404489,0.00395322,0.479408,0.0932563
0.854083,0.560737,0.00979932,0.00287779,0.00278977,0.00287779,0.00281205,0.463237,0.0889288
0.860915,0.542146,0.00917261,0.00190887,0.00185003,0.00190887,0.00186492,0.447344,0.0847513
0.867748,0.523869,0.00858101,0.00113813,0.00110277,0.00113813,0.00111172,0.431728,0.08072
0.874581,0.505905,0.00802277,0.000565572,0.000547866,0.000565572,0.000552346,0.41639,0.0768311
0.881413,0.488254,0.0074962,0.000191196,0.000185164,0.000191196,0.00018669,0.401329,0.0730808
0.888246,0.470917,0.0069997,1.49996e-05,1.45228e-05,1.49996e-05,1.46434e-05,0.386545,0.0694655
0.895079,0.453894,0.00653173,0,0,0,0,0.372039,0.0659817
0.901911,0.437183,0.00609084,0,0,0,0,0.357811,0.0626258
0.908744,0.420787,0.00567564,0,0,0,0,0.343859,0.0593946
0.915577,0.404703,0.00528481,0,0,0,0,0.330185,0.0562847
0.922409,0.388933,0.00491707,0,0,0,0,0.316789,0.0532928
0.929242,0.373476,0.00457125,0,0,0,0,0.30367,0.0504157
0.936075,0.358333,0.00424617,0,0,0,0,0.290828,0.0476504
0.942907,0.343503,0.00394077,0,0,0,0,0.278264,0.0449939
0.94974,0.328987,0.003654,0,0,0,0,0.265977,0.0424431
0.956573,0.314783,0.00338487,0,0,0,0,0.253968,0.0399951
0.963405,0.300894,0.00313244,0,0,0,0,0.242236,0.0376472
0.970238,0.287317,0.00289581,0,0,0,0,0.230782,0.0353966
0.977071,0.274054,0.00267414,0,0,0,0,0.219605,0.0332405
0.983903,0.261105,0.00246662,0,0,0,0,0.208705,0.0311763
0.990736,0.248469,0.00227247,0,0,0,0,0.198083,0.0292014
0.997569,0.236146,0.00209097,0,0,0,0,0.187738,0.0273134
1.0044,0.224137,0.0019214,0,0,0,0,0.177671,0.0255097
1.01123,0.212441,0.00176312,0,0,0,0,0.167881,0.0237879
1.01807,0.201058,0.0016155,0,0,0,0,0.158368,0.0221457
1.0249,0.189989,0.00147793,0,0,0,0,0.149133,0.0205807
1.03173,0.179233,0.00134984,0,0,0,0,0.140175,0.0190908
1.03856,0.168791,0.0012307,0,0,0,0,0.131495,0.0176737
1.0454,0.158662,0.00111999,0,0,0,0,0.123092,0.0163273
1.05223,0.148846,0.00101723,0,0,0,0,0.114967,0.0150495
1.05906,0.139344,0.000921955,0,0,0,0,0.107119,0.0138383
1.0659,0.130155,0.000833724,0,0,0,0,0.099548,0.0126916
1.07273,0.12128,0.000752122,0,0,0,0,0.0922548,0.0116075
1.07956,0.112718,0.000676755,0,0,0,0,0.0852391,0.0105841
1.08639,0.104469,0.000607249,0,0,0,0,0.0785007,0.00961952
1.09323,0.0965336,0.000543248,0,0,0,0,0.0720398,0.00871201
1.10006,0.0889117,0.000484415,0,0,0,0,0.0658563,0.00785975
1.10689,0.0816033,0.000430433,0,0,0,0,0.0599502,0.00706103
1.11372,0.0746082,0.000380999,0,0,0,0,0.0543215,0.00631416
1.12056,0.0679265,0.000335828,0,0,0,0,0.0489702,0.00561748
1.12739,0.0615582,0.000294648,0,0,0,0,0.0438964,0.00496941
1.13422,0.0555033,0.000257203,0,0,0,0,0.0391,0.00436836
1.14105,0.0497618,0.00022325,0,0,0,0,0.034581,0.00381281
1.14789,0.0443337,0.000192561,0,0,0,0,0.0303394,0.00330127
1.15472,0.039219,0.000164919,0,0,0,0,0.0263753,0.00283228
1.16155,0.0344177,0.000140119,0,0,0,0,0.0226885,0.00240443
1.16839,0.0299297,0.000117966,0,0,0,0,0.0192792,0.00201632
1.17522,0.0257552,9.82785e-05,0,0,0,0,0.0161473,0.00166662
1.18205,0.0218941,8.08834e-05,0,0,0,0,0.0132928,0.00135401
1.18888,0.0183463,6.56177e-05,0,0,0,0,0.0107158,0.00107719
1.19572,0.015112,5.23278e-05,0,0,0,0,0.00841614,0.000834926
1.20255,0.012191,4.08687e-05,0,0,0,0,0.00639392,0.000625991
1.20938,0.00958344,3.11037e-05,0,0,0,0,0.00464913,0.000449198
1.21621,0.00728926,2.29041e-05,0,0,0,0,0.00318175,0.000303388
1.22305,0.00530848,1.61488e-05,0,0,0,0,0.00199179,0.000187431
1.22988,0.00364109,1.07236e-05,0,0,0,0,0.00107925,0.000100227
1.23671,0.0022871,6.52129e-06,0,0,0,0,0.000444132,4.07045e-05
1.24354,0.0012465,3.44096e-06,0,0,0,0,8.6433e-05,7.81764e-06
1.25038,0.000519288,1.38783e-06,0,0,0,0,0,0
1.25721,0.000105474,2.72905e-07,0,0,0,0,0,0
1.26404,0,0,0,0,0,0,0,0
1.27088,0,0,0,0,0,0,0,0
1.27771,0,0,0,0,0,0,0,0
1.28454,0,0,0,0,0,0,0,0
1.29137,0,0,0,0,0,0,0,0
1.29821,0,0,0,0,0,0,0,0
1.30504,0,0,0,0,0,0,0,0
1.31187,0,0,0,0,0,0,0,0
1.3187,0,0,0,0,0,0,0,0
1.32554,0,0,0,0,0,0,0,0
1.33237,0,0,0,0,0,0,0,0
1.3392,0,0,0,0,0,0,0,0
1.34603,0,0,0,0,0,0,0,0
1.35287,0,0,0,0,0,0,0,0
1.3597,0,0,0,0,0,0,0,0
